policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value
29455,G,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,4,$1.6M to $2M
29456,B,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Below 1500,9,$800K to $1.2M
29457,G,Alameda,Frame,Wood,1985 and Before,4000 and Above,1,$1.2M to $1.6M
29458,E,Contra Costa,Frame,Wood,1986 to 1999,Between 1500 and 3000,6,$1.6M to $2M
29459,D,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,5,Less than $400K
29460,I,Santa Clara,Fire Resistive,Tile,1985 and Before,Between 1500 and 3000,6,$400K to $800K
29461,E,Alameda,Frame,Metal,2000 and After,Between 3000 and 4000,10,$800K to $1.2M
29462,F,Sonoma,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,6,$1.2M to $1.6M
29463,H,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,4,$1.6M to $2M
29464,J,Solano,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,5,$1.6M to $2M
29465,H,Sonoma,Frame,Shingle,1986 to 1999,Below 1500,3,$1.6M to $2M
29466,A,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,7,$1.2M to $1.6M
29467,D,Contra Costa,Fire Resistive,Tile,1985 and Before,Below 1500,7,$1.6M to $2M
29468,C,Solano,Frame,Tile,1986 to 1999,Between 1500 and 3000,5,$800K to $1.2M
29469,G,Marin,Frame,Metal,2000 and After,Between 1500 and 3000,6,Less than $400K
29470,B,Sonoma,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,8,$1.6M to $2M
29471,I,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,7,$800K to $1.2M
29472,C,Santa Clara,Fire Resistive,Shingle,2000 and After,4000 and Above,6,$400K to $800K
29473,I,Santa Clara,Fire Resistive,Tile,1986 to 1999,4000 and Above,10,Less than $400K
29474,D,Santa Clara,Fire Resistive,Wood,2000 and After,4000 and Above,8,$800K to $1.2M
29475,D,San Francisco,Frame,Metal,1985 and Before,4000 and Above,6,$400K to $800K
29476,D,Santa Clara,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,6,$800K to $1.2M
29477,F,Alameda,Frame,Shingle,1986 to 1999,Below 1500,7,$800K to $1.2M
29478,C,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,2,$400K to $800K
29479,I,Marin,Frame,Tile,2000 and After,Below 1500,6,Less than $400K
29480,G,Santa Clara,Fire Resistive,Tile,2000 and After,4000 and Above,9,Less than $400K
29481,B,Alameda,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,3,$1.6M to $2M
29482,H,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,10,$800K to $1.2M
29483,A,Sonoma,Frame,Tile,2000 and After,Below 1500,2,$1.2M to $1.6M
29484,B,San Mateo,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,8,$400K to $800K
29485,A,San Mateo,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,9,Less than $400K
29486,I,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,2,Less than $400K
29487,G,Santa Clara,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,5,$1.2M to $1.6M
29488,C,Alameda,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,10,Less than $400K
29489,H,Alameda,Frame,Metal,1985 and Before,Between 1500 and 3000,5,$1.2M to $1.6M
29490,J,Sonoma,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,9,Less than $400K
29491,G,San Francisco,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,6,$1.6M to $2M
29492,E,Alameda,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,9,Less than $400K
29493,C,San Francisco,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,6,$400K to $800K
29494,G,Sonoma,Frame,Metal,2000 and After,Between 3000 and 4000,7,$1.6M to $2M
29495,A,Sonoma,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,8,$1.2M to $1.6M
29496,E,San Mateo,Fire Resistive,Wood,2000 and After,Below 1500,2,$400K to $800K
29497,H,Contra Costa,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,3,Less than $400K
29498,D,Santa Clara,Frame,Tile,2000 and After,Between 3000 and 4000,7,$400K to $800K
29499,F,Sonoma,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,8,$400K to $800K
29500,E,San Francisco,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,10,$800K to $1.2M
29501,B,Sonoma,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,7,$1.6M to $2M
29502,J,Sonoma,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,2,Less than $400K
29503,D,Santa Clara,Frame,Metal,2000 and After,Below 1500,9,$1.2M to $1.6M
29504,H,Alameda,Frame,Metal,2000 and After,Between 1500 and 3000,10,$1.6M to $2M
29505,E,Sonoma,Frame,Metal,1986 to 1999,Below 1500,3,$800K to $1.2M
29506,G,San Francisco,Frame,Tile,2000 and After,4000 and Above,4,$400K to $800K
29507,D,Alameda,Frame,Metal,1985 and Before,Below 1500,2,Less than $400K
29508,J,Contra Costa,Frame,Tile,2000 and After,4000 and Above,3,$1.6M to $2M
29509,H,Solano,Frame,Tile,1985 and Before,Below 1500,10,$1.2M to $1.6M
29510,G,San Francisco,Frame,Shingle,1986 to 1999,4000 and Above,4,Less than $400K
29511,E,Sonoma,Non-Combustible Masonry,Tile,2000 and After,Below 1500,10,$800K to $1.2M
29512,D,Contra Costa,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,7,$800K to $1.2M
29513,E,Sonoma,Fire Resistive,Wood,1985 and Before,Below 1500,5,$800K to $1.2M
29514,A,Alameda,Fire Resistive,Tile,2000 and After,Below 1500,4,$400K to $800K
29515,D,San Francisco,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,10,Less than $400K
29516,G,Santa Clara,Frame,Wood,2000 and After,4000 and Above,3,$1.2M to $1.6M
29517,B,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,7,Less than $400K
29518,H,San Francisco,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,8,$1.2M to $1.6M
29519,D,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,5,$1.6M to $2M
29520,B,Marin,Fire Resistive,Metal,1986 to 1999,Below 1500,1,$1.6M to $2M
29521,D,San Mateo,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,8,$1.6M to $2M
29522,A,Alameda,Frame,Tile,1986 to 1999,4000 and Above,8,$800K to $1.2M
29523,I,Santa Clara,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,1,Less than $400K
29524,E,Santa Clara,Frame,Shingle,2000 and After,4000 and Above,10,$800K to $1.2M
29525,C,Santa Clara,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,7,Less than $400K
29526,G,Santa Clara,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,7,Less than $400K
29527,C,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,3,$800K to $1.2M
29528,J,San Francisco,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,4,Less than $400K
29529,D,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,2,Less than $400K
29530,B,Alameda,Fire Resistive,Metal,1986 to 1999,4000 and Above,4,$1.6M to $2M
29531,F,Sonoma,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,5,$400K to $800K
29532,F,Alameda,Fire Resistive,Tile,1985 and Before,Below 1500,1,$800K to $1.2M
29533,F,Alameda,Frame,Wood,1985 and Before,Between 1500 and 3000,8,$800K to $1.2M
29534,A,Alameda,Fire Resistive,Tile,1986 to 1999,4000 and Above,6,Less than $400K
29535,G,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,6,$1.2M to $1.6M
29536,B,Santa Clara,Frame,Metal,1986 to 1999,Below 1500,8,$1.6M to $2M
29537,C,Marin,Fire Resistive,Shingle,2000 and After,Below 1500,1,Less than $400K
29538,J,Santa Clara,Frame,Metal,1986 to 1999,4000 and Above,7,Less than $400K
29539,D,Alameda,Frame,Tile,2000 and After,Between 3000 and 4000,10,$1.2M to $1.6M
29540,H,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,9,$1.2M to $1.6M
29541,C,Alameda,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,2,$1.6M to $2M
29542,J,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,2,$1.2M to $1.6M
29543,E,Sonoma,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,9,$1.2M to $1.6M
29544,E,Alameda,Frame,Tile,1986 to 1999,Between 3000 and 4000,7,Less than $400K
29545,J,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,1,Less than $400K
29546,F,Santa Clara,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,5,$1.2M to $1.6M
29547,J,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,3,$400K to $800K
29548,J,Contra Costa,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,6,$400K to $800K
29549,G,Santa Clara,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,2,Less than $400K
29550,J,Santa Clara,Frame,Shingle,1985 and Before,4000 and Above,8,$1.6M to $2M
29551,E,Marin,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,2,$1.2M to $1.6M
29552,I,Sonoma,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,10,$400K to $800K
29553,C,San Francisco,Frame,Wood,1985 and Before,Below 1500,2,$1.2M to $1.6M
29554,J,Santa Clara,Fire Resistive,Tile,2000 and After,Below 1500,4,$1.6M to $2M
29555,I,Sonoma,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,2,$1.2M to $1.6M
29556,B,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,5,$400K to $800K
29557,C,Contra Costa,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,9,$400K to $800K
29558,A,Contra Costa,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,2,$1.6M to $2M
29559,J,San Mateo,Frame,Tile,1986 to 1999,Below 1500,7,$400K to $800K
29560,D,Marin,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,3,Less than $400K
29561,J,Alameda,Fire Resistive,Tile,1985 and Before,Below 1500,9,$1.6M to $2M
29562,D,San Mateo,Frame,Wood,2000 and After,Between 1500 and 3000,2,$800K to $1.2M
29563,J,Contra Costa,Fire Resistive,Metal,2000 and After,Below 1500,5,$1.2M to $1.6M
29564,E,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Below 1500,6,$1.2M to $1.6M
29565,I,Contra Costa,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,8,$400K to $800K
29566,I,Alameda,Frame,Wood,2000 and After,Between 3000 and 4000,10,$1.2M to $1.6M
29567,D,Alameda,Frame,Wood,1986 to 1999,4000 and Above,3,$800K to $1.2M
29568,B,Contra Costa,Fire Resistive,Shingle,1986 to 1999,Below 1500,8,$800K to $1.2M
29569,B,Contra Costa,Fire Resistive,Tile,1985 and Before,Below 1500,4,Less than $400K
29570,D,Alameda,Fire Resistive,Tile,1985 and Before,Below 1500,4,Less than $400K
29571,J,Contra Costa,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,6,$1.2M to $1.6M
29572,G,Solano,Frame,Wood,1985 and Before,4000 and Above,6,$800K to $1.2M
29573,A,Contra Costa,Fire Resistive,Shingle,1985 and Before,Below 1500,5,$400K to $800K
29574,A,San Mateo,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,4,$800K to $1.2M
29575,D,Sonoma,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,10,$800K to $1.2M
29576,E,San Mateo,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,6,$1.2M to $1.6M
29577,F,Contra Costa,Frame,Shingle,1985 and Before,4000 and Above,6,Less than $400K
29578,B,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,6,$800K to $1.2M
29579,C,Santa Clara,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,9,$800K to $1.2M
29580,H,San Francisco,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,2,$800K to $1.2M
29581,H,Sonoma,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,8,$1.2M to $1.6M
29582,I,Alameda,Frame,Tile,2000 and After,Between 1500 and 3000,2,$1.2M to $1.6M
29583,D,Sonoma,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,10,$1.6M to $2M
29584,J,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,6,Less than $400K
29585,I,San Francisco,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,9,$800K to $1.2M
29586,F,San Francisco,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,8,$800K to $1.2M
29587,C,Solano,Frame,Metal,1985 and Before,Below 1500,1,$1.6M to $2M
29588,J,Solano,Frame,Wood,1986 to 1999,Below 1500,7,$1.6M to $2M
29589,B,Sonoma,Frame,Tile,1985 and Before,Between 1500 and 3000,7,Less than $400K
29590,F,Contra Costa,Fire Resistive,Tile,1985 and Before,4000 and Above,4,Less than $400K
29591,D,Contra Costa,Frame,Metal,2000 and After,Below 1500,2,$1.2M to $1.6M
29592,I,Marin,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,6,Less than $400K
29593,J,Sonoma,Frame,Metal,1986 to 1999,4000 and Above,4,$800K to $1.2M
29594,H,Santa Clara,Frame,Metal,2000 and After,Between 1500 and 3000,5,$800K to $1.2M
29595,A,Santa Clara,Frame,Metal,1985 and Before,Between 1500 and 3000,6,$1.2M to $1.6M
29596,B,Sonoma,Frame,Wood,1986 to 1999,Between 3000 and 4000,6,$800K to $1.2M
29597,E,San Mateo,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,5,$1.6M to $2M
29598,B,Alameda,Fire Resistive,Tile,2000 and After,4000 and Above,6,$1.2M to $1.6M
29599,J,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,4,Less than $400K
29600,C,Santa Clara,Fire Resistive,Metal,2000 and After,4000 and Above,1,Less than $400K
29601,F,Alameda,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,10,$1.6M to $2M
29602,A,Alameda,Fire Resistive,Wood,1985 and Before,Below 1500,9,Less than $400K
29603,F,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Below 1500,6,$800K to $1.2M
29604,A,Santa Clara,Fire Resistive,Wood,2000 and After,Below 1500,5,$400K to $800K
29605,G,San Francisco,Frame,Shingle,2000 and After,Between 3000 and 4000,5,$1.6M to $2M
29606,C,Santa Clara,Frame,Wood,2000 and After,Below 1500,10,$1.6M to $2M
29607,C,Alameda,Frame,Metal,2000 and After,Between 1500 and 3000,1,$1.6M to $2M
29608,E,Solano,Frame,Shingle,1986 to 1999,4000 and Above,10,$1.6M to $2M
29609,B,Solano,Frame,Tile,2000 and After,Between 3000 and 4000,10,$800K to $1.2M
29610,C,Santa Clara,Frame,Tile,1985 and Before,Between 3000 and 4000,1,$1.2M to $1.6M
29611,D,Sonoma,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,10,Less than $400K
29612,G,San Mateo,Frame,Shingle,2000 and After,Between 1500 and 3000,1,$800K to $1.2M
29613,F,San Francisco,Fire Resistive,Metal,2000 and After,4000 and Above,1,Less than $400K
29614,D,San Francisco,Fire Resistive,Shingle,1986 to 1999,Below 1500,8,$800K to $1.2M
29615,I,Santa Clara,Fire Resistive,Metal,1986 to 1999,Below 1500,2,$400K to $800K
29616,E,San Mateo,Non-Combustible Masonry,Tile,1985 and Before,4000 and Above,9,$800K to $1.2M
29617,E,Santa Clara,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,3,Less than $400K
29618,J,Alameda,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,10,$1.2M to $1.6M
29619,I,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,2,Less than $400K
29620,E,Santa Clara,Frame,Tile,1985 and Before,Between 1500 and 3000,6,$800K to $1.2M
29621,F,Santa Clara,Frame,Wood,1985 and Before,Between 1500 and 3000,3,$1.2M to $1.6M
29622,F,Sonoma,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,5,$1.6M to $2M
29623,C,San Francisco,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,1,Less than $400K
29624,G,Solano,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,9,$400K to $800K
29625,C,Solano,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,5,Less than $400K
29626,E,San Francisco,Fire Resistive,Metal,2000 and After,4000 and Above,7,Less than $400K
29627,E,Santa Clara,Fire Resistive,Wood,2000 and After,Below 1500,6,$800K to $1.2M
29628,I,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,9,$400K to $800K
29629,J,Santa Clara,Frame,Metal,2000 and After,Between 1500 and 3000,7,$800K to $1.2M
29630,B,Solano,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,2,$400K to $800K
29631,C,Santa Clara,Fire Resistive,Shingle,1985 and Before,Below 1500,9,$800K to $1.2M
29632,J,San Mateo,Frame,Tile,2000 and After,4000 and Above,10,$400K to $800K
29633,G,San Mateo,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,6,$1.6M to $2M
29634,J,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,6,$1.2M to $1.6M
29635,C,Santa Clara,Fire Resistive,Tile,1985 and Before,Between 1500 and 3000,10,$800K to $1.2M
29636,B,Alameda,Fire Resistive,Metal,1985 and Before,Below 1500,9,$1.6M to $2M
29637,D,Contra Costa,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,1,$800K to $1.2M
29638,D,San Francisco,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,1,$400K to $800K
29639,B,San Mateo,Frame,Tile,1985 and Before,Between 1500 and 3000,7,$800K to $1.2M
29640,G,Santa Clara,Frame,Tile,1986 to 1999,Between 3000 and 4000,3,$1.2M to $1.6M
29641,A,Contra Costa,Fire Resistive,Wood,1985 and Before,4000 and Above,2,Less than $400K
29642,D,San Francisco,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,10,$400K to $800K
29643,E,Napa,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,10,$1.6M to $2M
29644,D,Contra Costa,Frame,Metal,1985 and Before,4000 and Above,6,Less than $400K
29645,I,Alameda,Frame,Wood,1986 to 1999,Between 1500 and 3000,5,$400K to $800K
29646,E,Contra Costa,Frame,Tile,2000 and After,Between 1500 and 3000,10,$1.2M to $1.6M
29647,C,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,7,$1.6M to $2M
29648,H,San Mateo,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,9,$1.2M to $1.6M
29649,C,Napa,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,5,$800K to $1.2M
29650,D,San Francisco,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,9,Less than $400K
29651,C,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,8,$1.2M to $1.6M
29652,I,Sonoma,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,3,$400K to $800K
29653,G,Santa Clara,Frame,Metal,1985 and Before,Below 1500,1,$800K to $1.2M
29654,B,Napa,Frame,Wood,2000 and After,4000 and Above,2,$800K to $1.2M
29655,D,Contra Costa,Frame,Wood,1986 to 1999,4000 and Above,8,Less than $400K
29656,E,San Mateo,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,9,$1.6M to $2M
29657,E,San Francisco,Fire Resistive,Wood,1986 to 1999,Below 1500,10,$800K to $1.2M
29658,H,Contra Costa,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,5,$1.6M to $2M
29659,B,Santa Clara,Fire Resistive,Wood,1986 to 1999,4000 and Above,10,$800K to $1.2M
29660,F,Solano,Fire Resistive,Metal,1986 to 1999,4000 and Above,8,$1.2M to $1.6M
29661,H,Alameda,Frame,Wood,2000 and After,4000 and Above,6,$400K to $800K
29662,I,Marin,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,1,$400K to $800K
29663,G,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,7,$800K to $1.2M
29664,B,Alameda,Frame,Metal,1986 to 1999,Below 1500,3,$1.2M to $1.6M
29665,F,Alameda,Frame,Tile,1985 and Before,4000 and Above,5,$1.6M to $2M
29666,E,Alameda,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,7,$800K to $1.2M
29667,H,Sonoma,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,5,$1.2M to $1.6M
29668,E,San Francisco,Frame,Wood,2000 and After,Between 3000 and 4000,7,$1.2M to $1.6M
29669,E,San Francisco,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,9,Less than $400K
29670,E,Santa Clara,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,7,$1.2M to $1.6M
29671,E,Marin,Frame,Wood,1986 to 1999,Between 1500 and 3000,2,$800K to $1.2M
29672,A,Sonoma,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,7,Less than $400K
29673,E,Santa Clara,Fire Resistive,Metal,2000 and After,4000 and Above,9,Less than $400K
29674,D,Solano,Frame,Wood,2000 and After,Between 3000 and 4000,10,$400K to $800K
29675,H,San Francisco,Frame,Tile,1985 and Before,4000 and Above,10,$800K to $1.2M
29676,B,Santa Clara,Fire Resistive,Tile,2000 and After,Below 1500,9,$800K to $1.2M
29677,I,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,2,$1.6M to $2M
29678,C,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,3,$1.6M to $2M
29679,D,Marin,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,8,Less than $400K
29680,D,Napa,Frame,Tile,2000 and After,Between 3000 and 4000,4,Less than $400K
29681,E,San Francisco,Fire Resistive,Tile,1986 to 1999,4000 and Above,7,Less than $400K
29682,J,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Below 1500,2,$800K to $1.2M
29683,G,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Below 1500,8,$800K to $1.2M
29684,H,San Mateo,Frame,Wood,1986 to 1999,Between 1500 and 3000,7,$1.2M to $1.6M
29685,I,Alameda,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,2,$400K to $800K
29686,I,San Mateo,Fire Resistive,Shingle,2000 and After,4000 and Above,9,$400K to $800K
29687,B,Alameda,Frame,Wood,2000 and After,Between 3000 and 4000,5,$1.2M to $1.6M
29688,A,San Francisco,Frame,Shingle,2000 and After,4000 and Above,5,$1.6M to $2M
29689,A,Alameda,Frame,Wood,1985 and Before,Below 1500,9,$1.2M to $1.6M
29690,E,San Mateo,Frame,Shingle,1986 to 1999,4000 and Above,1,$800K to $1.2M
29691,I,Solano,Frame,Tile,2000 and After,4000 and Above,6,$800K to $1.2M
29692,D,Solano,Frame,Wood,2000 and After,4000 and Above,3,$400K to $800K
29693,D,Alameda,Frame,Metal,2000 and After,Between 3000 and 4000,2,Less than $400K
29694,A,Solano,Frame,Wood,1986 to 1999,Between 3000 and 4000,3,$800K to $1.2M
29695,D,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,6,Less than $400K
29696,D,Santa Clara,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,8,$400K to $800K
29697,B,Solano,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,1,Less than $400K
29698,H,Sonoma,Frame,Tile,1986 to 1999,Below 1500,1,$800K to $1.2M
29699,B,Marin,Fire Resistive,Tile,1985 and Before,4000 and Above,7,$800K to $1.2M
29700,C,Santa Clara,Frame,Shingle,1986 to 1999,4000 and Above,2,$400K to $800K
29701,E,Alameda,Fire Resistive,Shingle,2000 and After,Below 1500,6,$1.2M to $1.6M
29702,E,Alameda,Frame,Metal,2000 and After,Between 3000 and 4000,9,Less than $400K
29703,C,Sonoma,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,10,$1.6M to $2M
29704,E,Solano,Frame,Shingle,1985 and Before,Below 1500,10,$1.6M to $2M
29705,H,Contra Costa,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,9,$1.6M to $2M
29706,H,San Francisco,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,2,Less than $400K
29707,F,Sonoma,Fire Resistive,Metal,1986 to 1999,4000 and Above,5,$800K to $1.2M
29708,D,Santa Clara,Frame,Tile,2000 and After,4000 and Above,6,Less than $400K
29709,E,Santa Clara,Frame,Wood,2000 and After,Between 3000 and 4000,2,$1.6M to $2M
29710,I,Solano,Frame,Wood,2000 and After,4000 and Above,2,Less than $400K
29711,D,Marin,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,3,$1.6M to $2M
29712,H,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,3,$400K to $800K
29713,F,San Mateo,Frame,Wood,1985 and Before,4000 and Above,7,$1.6M to $2M
29714,C,Contra Costa,Fire Resistive,Tile,2000 and After,Below 1500,4,Less than $400K
29715,F,Marin,Frame,Wood,1985 and Before,Between 1500 and 3000,3,$800K to $1.2M
29716,G,Alameda,Fire Resistive,Wood,1986 to 1999,Below 1500,3,$800K to $1.2M
29717,A,Solano,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,9,$800K to $1.2M
29718,J,Alameda,Fire Resistive,Wood,2000 and After,Below 1500,5,$800K to $1.2M
29719,A,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,6,$1.6M to $2M
29720,C,Alameda,Frame,Metal,1986 to 1999,Between 1500 and 3000,8,$1.6M to $2M
29721,E,Alameda,Frame,Wood,1986 to 1999,Between 3000 and 4000,9,$800K to $1.2M
29722,C,San Mateo,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,10,$1.2M to $1.6M
29723,D,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,6,$800K to $1.2M
29724,I,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,5,Less than $400K
29725,G,San Mateo,Frame,Tile,1985 and Before,Below 1500,5,Less than $400K
29726,H,Alameda,Frame,Wood,1985 and Before,Below 1500,9,$1.2M to $1.6M
29727,E,Marin,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,6,$800K to $1.2M
29728,G,Alameda,Fire Resistive,Metal,1986 to 1999,Below 1500,2,$800K to $1.2M
29729,A,San Mateo,Fire Resistive,Tile,2000 and After,4000 and Above,10,$1.2M to $1.6M
29730,C,Contra Costa,Fire Resistive,Wood,1986 to 1999,4000 and Above,10,Less than $400K
29731,C,San Mateo,Fire Resistive,Metal,2000 and After,4000 and Above,4,$1.2M to $1.6M
29732,J,Sonoma,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,2,$400K to $800K
