policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value, claim_amounts 
23437,I,San Mateo,Frame,Tile,2000 and After,Between 3000 and 4000,6,$1.6M to $2M,
23438,B,Santa Clara,Frame,Tile,1985 and Before,4000 and Above,3,$1.2M to $1.6M," $159,408.63 "
23439,E,San Francisco,Frame,Tile,1985 and Before,Between 3000 and 4000,9,$1.6M to $2M," $157,534.64 "
23440,J,Sonoma,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,5,$400K to $800K,
23441,B,Alameda,Fire Resistive,Tile,1985 and Before,4000 and Above,3,$400K to $800K,
23442,B,Alameda,Frame,Wood,1985 and Before,Below 1500,8,$800K to $1.2M," $172,581.41 "
23443,E,San Francisco,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,1,$1.6M to $2M,
23444,I,Contra Costa,Frame,Tile,2000 and After,Between 1500 and 3000,7,$400K to $800K,
23445,A,San Mateo,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,4,$400K to $800K,
23446,B,San Mateo,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,3,$800K to $1.2M,
23447,B,San Mateo,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,5,$400K to $800K,
23448,H,Solano,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,10,$800K to $1.2M,
23449,B,San Francisco,Frame,Metal,1986 to 1999,Between 3000 and 4000,6,$800K to $1.2M,
23450,I,Sonoma,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,8,Less than $400K,
23451,B,Sonoma,Frame,Wood,1985 and Before,4000 and Above,5,$1.2M to $1.6M," $171,712.91 "
23452,H,San Francisco,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,6,$1.2M to $1.6M,
23453,J,Alameda,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,10,Less than $400K,
23454,G,Santa Clara,Frame,Shingle,1985 and Before,4000 and Above,3,$800K to $1.2M,
23455,J,San Mateo,Frame,Tile,1986 to 1999,4000 and Above,4,$400K to $800K,
23456,B,Santa Clara,Frame,Wood,2000 and After,4000 and Above,7,$1.2M to $1.6M," $156,528.37 "
23457,J,San Mateo,Frame,Shingle,1986 to 1999,4000 and Above,5,$400K to $800K,
23458,D,Santa Clara,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,2,$1.6M to $2M,
23459,F,Sonoma,Frame,Metal,2000 and After,Below 1500,7,Less than $400K,
23460,G,Alameda,Frame,Shingle,1985 and Before,4000 and Above,6,$800K to $1.2M," $173,996.10 "
23461,F,San Francisco,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,4,$400K to $800K," $68,959.72 "
23462,J,Contra Costa,Frame,Wood,1986 to 1999,Below 1500,5,$1.6M to $2M,
23463,F,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,3,$400K to $800K," $88,823.59 "
23464,A,Contra Costa,Non-Combustible Masonry,Wood,2000 and After,Below 1500,2,$800K to $1.2M,
23465,H,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,6,$1.6M to $2M,
23466,A,Contra Costa,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,3,$800K to $1.2M,
23467,C,San Francisco,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,1,$400K to $800K,
23468,F,Sonoma,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,10,$800K to $1.2M," $124,876.12 "
23469,B,Sonoma,Frame,Tile,1985 and Before,Between 3000 and 4000,2,$400K to $800K," $84,401.60 "
23470,A,San Francisco,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,1,Less than $400K,
23471,D,Contra Costa,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,2,$1.2M to $1.6M,
23472,G,San Mateo,Frame,Metal,1986 to 1999,Between 3000 and 4000,9,$800K to $1.2M,
23473,I,Alameda,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,5,Less than $400K,
23474,J,Sonoma,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,10,$400K to $800K,
23475,F,San Mateo,Frame,Metal,1986 to 1999,Between 3000 and 4000,5,$400K to $800K,
23476,J,Sonoma,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,3,Less than $400K," $47,110.45 "
23477,I,Santa Clara,Frame,Wood,1985 and Before,Between 1500 and 3000,3,$1.2M to $1.6M," $147,289.86 "
23478,F,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,8,$400K to $800K,
23479,I,Sonoma,Fire Resistive,Shingle,2000 and After,Below 1500,4,$1.6M to $2M,
23480,J,Alameda,Frame,Metal,1986 to 1999,4000 and Above,1,$1.6M to $2M,
23481,D,San Mateo,Frame,Wood,1986 to 1999,Between 1500 and 3000,4,Less than $400K,
23482,H,Santa Clara,Fire Resistive,Metal,1986 to 1999,4000 and Above,6,$800K to $1.2M,
23483,H,San Francisco,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,7,Less than $400K,
23484,D,Sonoma,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,4,$800K to $1.2M,
23485,F,Contra Costa,Frame,Shingle,2000 and After,4000 and Above,2,$800K to $1.2M," $112,440.97 "
23486,F,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,10,$400K to $800K,
23487,C,Contra Costa,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,2,$400K to $800K," $82,980.77 "
23488,D,Contra Costa,Non-Combustible Masonry,Wood,2000 and After,Below 1500,5,$1.2M to $1.6M,
23489,H,Alameda,Fire Resistive,Metal,1986 to 1999,4000 and Above,3,$800K to $1.2M,
23490,I,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,4,$800K to $1.2M," $96,321.97 "
23491,C,Santa Clara,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,7,Less than $400K,
23492,D,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,5,$800K to $1.2M,
23493,F,San Francisco,Frame,Metal,2000 and After,4000 and Above,10,$1.2M to $1.6M," $142,183.62 "
23494,I,Santa Clara,Frame,Metal,1985 and Before,4000 and Above,6,Less than $400K," $64,169.19 "
23495,A,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,1,$400K to $800K,
23496,D,Santa Clara,Frame,Shingle,1986 to 1999,Between 1500 and 3000,9,Less than $400K,
23497,I,Contra Costa,Frame,Wood,2000 and After,4000 and Above,5,Less than $400K,
23498,H,Alameda,Frame,Tile,1986 to 1999,Between 1500 and 3000,5,$400K to $800K," $149,491.15 "
23499,C,Solano,Frame,Wood,1986 to 1999,Below 1500,10,$800K to $1.2M,
23500,J,Marin,Frame,Metal,1985 and Before,4000 and Above,3,$1.2M to $1.6M,
23501,I,Santa Clara,Frame,Shingle,2000 and After,Between 1500 and 3000,6,$800K to $1.2M,
23502,C,Santa Clara,Frame,Shingle,1985 and Before,4000 and Above,9,$400K to $800K,
23503,G,San Francisco,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,3,$1.6M to $2M,
23504,F,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,3,$1.6M to $2M,
23505,F,Sonoma,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,9,Less than $400K,
23506,G,Santa Clara,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,1,$400K to $800K," $96,197.85 "
23507,J,Alameda,Non-Combustible Masonry,Tile,1985 and Before,4000 and Above,1,$400K to $800K,
23508,C,Sonoma,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,5,Less than $400K," $157,495.72 "
23509,B,San Francisco,Frame,Metal,2000 and After,Below 1500,4,Less than $400K,
23510,E,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,9,$400K to $800K,
23511,E,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Below 1500,4,$1.2M to $1.6M," $163,775.72 "
23512,F,San Francisco,Frame,Tile,2000 and After,Between 1500 and 3000,1,$400K to $800K,
23513,H,Contra Costa,Frame,Tile,1986 to 1999,4000 and Above,10,Less than $400K,
23514,H,Alameda,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,2,Less than $400K,
23515,D,Alameda,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,5,$400K to $800K," $122,784.49 "
23516,A,Contra Costa,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,1,Less than $400K," $44,312.36 "
23517,D,Alameda,Frame,Wood,1986 to 1999,Between 1500 and 3000,10,$800K to $1.2M,
23518,F,San Francisco,Frame,Metal,2000 and After,Between 3000 and 4000,9,$1.2M to $1.6M,
23519,F,San Francisco,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,8,$400K to $800K,
23520,D,Contra Costa,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,4,$1.2M to $1.6M," $131,605.25 "
23521,J,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,7,$400K to $800K,
23522,B,Contra Costa,Fire Resistive,Tile,1985 and Before,Between 1500 and 3000,10,$400K to $800K,
23523,G,Napa,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,10,$800K to $1.2M," $350,535.42 "
23524,F,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,8,$400K to $800K,
23525,A,San Mateo,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,7,$800K to $1.2M,
23526,C,Santa Clara,Fire Resistive,Shingle,2000 and After,4000 and Above,6,$1.6M to $2M," $187,713.74 "
23527,J,San Mateo,Fire Resistive,Tile,1985 and Before,Below 1500,6,Less than $400K,
23528,I,Contra Costa,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,10,$1.6M to $2M,
23529,B,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,5,$1.6M to $2M,
23530,D,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,6,$400K to $800K,
23531,J,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Below 1500,10,$1.2M to $1.6M,
23532,D,Solano,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,9,$1.2M to $1.6M," $200,012.40 "
23533,E,Santa Clara,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,5,$1.2M to $1.6M,
23534,A,Alameda,Frame,Wood,2000 and After,Between 3000 and 4000,4,$400K to $800K,
23535,E,Alameda,Frame,Tile,2000 and After,4000 and Above,10,$1.6M to $2M,
23536,I,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Below 1500,1,$1.2M to $1.6M,
23537,E,San Mateo,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,5,Less than $400K," $71,128.96 "
23538,G,Alameda,Frame,Tile,2000 and After,4000 and Above,8,$400K to $800K,
23539,G,San Francisco,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,2,$1.6M to $2M,
23540,I,Alameda,Fire Resistive,Metal,1986 to 1999,4000 and Above,10,$400K to $800K," $108,690.88 "
23541,F,San Mateo,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,6,$1.2M to $1.6M," $125,361.00 "
23542,D,Alameda,Fire Resistive,Metal,2000 and After,Below 1500,9,$1.6M to $2M,
23543,J,Sonoma,Fire Resistive,Tile,2000 and After,4000 and Above,2,Less than $400K," $49,677.79 "
23544,B,Contra Costa,Frame,Tile,1985 and Before,4000 and Above,5,Less than $400K," $44,657.69 "
23545,I,Contra Costa,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,8,$1.2M to $1.6M," $153,326.42 "
23546,B,Napa,Frame,Shingle,1986 to 1999,Below 1500,7,$1.6M to $2M," $199,684.52 "
23547,J,Contra Costa,Fire Resistive,Shingle,1986 to 1999,Below 1500,10,$1.2M to $1.6M,
23548,G,Santa Clara,Fire Resistive,Metal,2000 and After,Below 1500,6,Less than $400K," $45,979.14 "
23549,C,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,8,$800K to $1.2M,
23550,B,San Francisco,Frame,Metal,1985 and Before,Between 3000 and 4000,2,$800K to $1.2M,
23551,G,Sonoma,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,9,$1.6M to $2M," $174,790.46 "
23552,H,Sonoma,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,4,$800K to $1.2M," $111,176.28 "
23553,E,Alameda,Frame,Metal,1986 to 1999,Below 1500,10,$400K to $800K,
23554,J,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,9,Less than $400K,
23555,F,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,2,Less than $400K,
23556,H,San Mateo,Frame,Wood,1986 to 1999,Between 1500 and 3000,4,$400K to $800K,
23557,F,San Mateo,Fire Resistive,Wood,1985 and Before,Below 1500,10,$1.6M to $2M,
23558,A,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,5,$1.6M to $2M," $219,847.23 "
23559,A,San Mateo,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,1,$800K to $1.2M,
23560,G,Santa Clara,Frame,Wood,1985 and Before,4000 and Above,9,$400K to $800K," $90,321.09 "
23561,F,Santa Clara,Frame,Tile,2000 and After,4000 and Above,2,Less than $400K," $44,997.48 "
23562,A,San Mateo,Frame,Tile,1985 and Before,Between 3000 and 4000,2,$1.2M to $1.6M,
23563,J,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,Below 1500,6,$1.2M to $1.6M,
23564,H,Alameda,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,4,$1.6M to $2M,
23565,G,Marin,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,5,$800K to $1.2M,
23566,C,Sonoma,Non-Combustible Masonry,Tile,2000 and After,Below 1500,3,$400K to $800K,
23567,B,Marin,Frame,Wood,1986 to 1999,Below 1500,4,$1.6M to $2M,
23568,B,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,1,$800K to $1.2M," $178,212.81 "
23569,B,San Mateo,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,5,$1.2M to $1.6M," $118,860.78 "
23570,D,San Francisco,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,1,$800K to $1.2M,
23571,G,Alameda,Fire Resistive,Shingle,2000 and After,Below 1500,5,Less than $400K,
23572,I,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,1,$400K to $800K,
23573,B,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,2,$1.2M to $1.6M,
23574,E,Alameda,Non-Combustible Masonry,Wood,2000 and After,Below 1500,6,Less than $400K," $62,583.63 "
23575,F,Alameda,Fire Resistive,Tile,1985 and Before,Below 1500,2,$400K to $800K,
23576,C,Alameda,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,9,$1.2M to $1.6M,
23577,D,Alameda,Fire Resistive,Metal,1985 and Before,4000 and Above,2,Less than $400K,
23578,H,Sonoma,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,9,$1.2M to $1.6M,
23579,H,Sonoma,Frame,Wood,2000 and After,Between 3000 and 4000,6,$1.2M to $1.6M,
23580,A,San Francisco,Frame,Tile,2000 and After,4000 and Above,8,$800K to $1.2M,
23581,C,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,9,Less than $400K,
23582,A,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,4,$800K to $1.2M,
23583,I,San Francisco,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,8,$1.6M to $2M,
23584,F,Contra Costa,Frame,Tile,1985 and Before,4000 and Above,7,Less than $400K," $56,855.44 "
23585,I,Santa Clara,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,4,Less than $400K," $45,183.36 "
23586,C,Alameda,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,2,$1.2M to $1.6M," $200,688.09 "
23587,D,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,7,$1.6M to $2M,
23588,C,Alameda,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,3,Less than $400K," $61,042.52 "
23589,I,Santa Clara,Frame,Metal,1985 and Before,Between 3000 and 4000,4,Less than $400K,
23590,D,Alameda,Frame,Shingle,2000 and After,4000 and Above,4,$1.6M to $2M,
23591,B,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,7,$1.2M to $1.6M," $140,341.28 "
23592,I,Alameda,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,6,$1.6M to $2M,
23593,D,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,9,$1.2M to $1.6M," $153,953.99 "
23594,H,Contra Costa,Fire Resistive,Wood,1986 to 1999,4000 and Above,2,$1.2M to $1.6M,
23595,C,San Francisco,Frame,Shingle,1985 and Before,4000 and Above,4,$1.6M to $2M,
23596,H,Solano,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,6,$1.2M to $1.6M,
23597,D,Napa,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,8,Less than $400K,
23598,C,Solano,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,2,$400K to $800K," $103,151.04 "
23599,G,San Mateo,Fire Resistive,Wood,1985 and Before,Below 1500,5,$800K to $1.2M,
23600,D,Alameda,Frame,Tile,1985 and Before,Below 1500,6,Less than $400K," $70,135.51 "
23601,A,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,6,$400K to $800K,
23602,H,Santa Clara,Frame,Shingle,1985 and Before,Below 1500,10,$800K to $1.2M,
23603,H,Contra Costa,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,10,$400K to $800K,
23604,J,Alameda,Fire Resistive,Tile,2000 and After,Below 1500,6,$400K to $800K,
23605,I,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,1,$1.6M to $2M,
23606,D,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,6,$1.6M to $2M," $187,601.24 "
23607,E,Alameda,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,7,$800K to $1.2M," $167,363.16 "
23608,I,San Mateo,Fire Resistive,Wood,2000 and After,Below 1500,8,$1.2M to $1.6M,
23609,G,Santa Clara,Frame,Tile,1986 to 1999,Between 1500 and 3000,6,$400K to $800K," $99,023.61 "
23610,C,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,4000 and Above,4,Less than $400K,
23611,I,San Francisco,Frame,Metal,1986 to 1999,Between 1500 and 3000,10,$1.6M to $2M,
23612,I,Contra Costa,Fire Resistive,Shingle,1985 and Before,Below 1500,6,$1.6M to $2M,
23613,A,San Mateo,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,4,$1.6M to $2M," $138,597.75 "
23614,B,San Mateo,Frame,Metal,2000 and After,Below 1500,5,$800K to $1.2M,
23615,E,Santa Clara,Frame,Shingle,1985 and Before,4000 and Above,4,$1.2M to $1.6M,
23616,G,San Mateo,Fire Resistive,Metal,1986 to 1999,4000 and Above,1,$1.6M to $2M,
23617,C,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,10,$1.6M to $2M,
23618,G,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,8,$400K to $800K," $77,257.70 "
23619,I,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,5,Less than $400K,
23620,E,Alameda,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,5,$1.2M to $1.6M,
23621,D,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,6,$1.6M to $2M,
23622,H,Contra Costa,Fire Resistive,Metal,2000 and After,4000 and Above,9,Less than $400K,
23623,G,Santa Clara,Fire Resistive,Shingle,1985 and Before,4000 and Above,3,Less than $400K,
23624,I,San Francisco,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,3,Less than $400K,
23625,B,Contra Costa,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,5,$1.6M to $2M,
23626,G,Contra Costa,Frame,Shingle,1986 to 1999,4000 and Above,6,$1.2M to $1.6M,
23627,J,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,4000 and Above,1,$1.2M to $1.6M,
23628,B,Solano,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,1,Less than $400K,
23629,A,Solano,Frame,Shingle,1986 to 1999,4000 and Above,2,$800K to $1.2M,
23630,G,Santa Clara,Fire Resistive,Wood,1986 to 1999,Below 1500,10,$1.6M to $2M,
23631,B,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,Below 1500,6,Less than $400K," $69,290.17 "
23632,G,Santa Clara,Frame,Shingle,2000 and After,4000 and Above,3,$1.6M to $2M,
23633,H,Santa Clara,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,8,$800K to $1.2M,
23634,J,Contra Costa,Fire Resistive,Wood,1985 and Before,4000 and Above,6,Less than $400K," $37,684.07 "
23635,A,Alameda,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,4,$800K to $1.2M,
23636,H,Contra Costa,Frame,Tile,2000 and After,Between 1500 and 3000,4,$400K to $800K,
23637,D,Contra Costa,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,5,$1.2M to $1.6M,
23638,H,Marin,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,10,$800K to $1.2M,
23639,A,Contra Costa,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,9,$400K to $800K,
23640,H,San Mateo,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,4,$1.2M to $1.6M,
23641,J,Sonoma,Fire Resistive,Metal,1985 and Before,4000 and Above,4,$800K to $1.2M," $131,825.19 "
23642,J,Santa Clara,Frame,Tile,2000 and After,Between 1500 and 3000,2,$1.2M to $1.6M," $170,267.22 "
23643,I,San Francisco,Fire Resistive,Shingle,1986 to 1999,Below 1500,10,$1.6M to $2M,
23644,F,Alameda,Frame,Metal,2000 and After,Between 3000 and 4000,2,$1.6M to $2M,
23645,C,Contra Costa,Fire Resistive,Wood,1986 to 1999,4000 and Above,5,Less than $400K," $55,356.59 "
23646,E,Alameda,Frame,Tile,2000 and After,Between 3000 and 4000,9,$400K to $800K,
23647,I,San Francisco,Frame,Wood,1986 to 1999,Between 1500 and 3000,8,$800K to $1.2M,
23648,A,San Francisco,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,6,$1.2M to $1.6M,
23649,H,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,1,$800K to $1.2M," $130,221.77 "
23650,I,Santa Clara,Fire Resistive,Metal,1985 and Before,4000 and Above,6,$1.6M to $2M,
23651,B,Santa Clara,Fire Resistive,Shingle,2000 and After,4000 and Above,1,Less than $400K," $43,328.55 "
23652,D,San Francisco,Fire Resistive,Shingle,1986 to 1999,4000 and Above,10,$800K to $1.2M," $125,141.38 "
23653,A,Santa Clara,Frame,Shingle,1985 and Before,Between 3000 and 4000,9,$1.2M to $1.6M,
23654,J,Alameda,Non-Combustible Masonry,Tile,2000 and After,Below 1500,5,$1.2M to $1.6M,
23655,A,Santa Clara,Frame,Tile,1985 and Before,Below 1500,7,Less than $400K," $45,755.45 "
23656,H,Marin,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,3,Less than $400K,
23657,B,Alameda,Frame,Tile,1985 and Before,Between 3000 and 4000,1,$400K to $800K," $118,806.90 "
23658,D,San Mateo,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,8,$1.6M to $2M,
23659,F,Contra Costa,Frame,Metal,1986 to 1999,4000 and Above,10,$1.6M to $2M," $169,945.65 "
23660,A,Alameda,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,7,$800K to $1.2M,
23661,A,San Mateo,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,9,$400K to $800K,
23662,C,Alameda,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,9,$800K to $1.2M,
23663,F,San Francisco,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,9,$1.2M to $1.6M,
23664,I,Alameda,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,5,$1.2M to $1.6M,
23665,F,San Mateo,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,1,$1.6M to $2M," $139,033.67 "
23666,H,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,2,$1.2M to $1.6M,
23667,E,Santa Clara,Fire Resistive,Wood,2000 and After,Below 1500,8,Less than $400K,
23668,F,Sonoma,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,7,Less than $400K,
23669,B,Santa Clara,Frame,Metal,2000 and After,Between 3000 and 4000,7,$1.2M to $1.6M," $159,287.64 "
23670,A,San Mateo,Fire Resistive,Metal,1986 to 1999,Below 1500,6,$400K to $800K,
23671,B,Contra Costa,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,8,$400K to $800K,
23672,F,Sonoma,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,2,$400K to $800K,
23673,B,Santa Clara,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,4,$1.2M to $1.6M,
23674,H,San Francisco,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,4,$1.6M to $2M,
23675,A,Santa Clara,Fire Resistive,Tile,2000 and After,Below 1500,4,$1.2M to $1.6M,
23676,A,Sonoma,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,4,$1.6M to $2M,
23677,H,Marin,Fire Resistive,Tile,1986 to 1999,Below 1500,5,$400K to $800K,
23678,H,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,8,$1.6M to $2M,
23679,A,Santa Clara,Frame,Wood,1985 and Before,4000 and Above,8,Less than $400K,
23680,C,Santa Clara,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,9,$400K to $800K,
23681,E,Santa Clara,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,7,$1.6M to $2M,
23682,E,Contra Costa,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,3,$400K to $800K," $78,503.77 "
23683,H,San Mateo,Fire Resistive,Metal,1985 and Before,Below 1500,7,$400K to $800K," $70,102.64 "
23684,G,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,2,Less than $400K," $84,662.31 "
23685,B,Contra Costa,Frame,Wood,2000 and After,4000 and Above,3,$800K to $1.2M,
23686,G,Solano,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,1,$400K to $800K,
23687,E,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,9,$1.6M to $2M,
23688,I,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,7,$400K to $800K," $115,902.92 "
23689,F,San Francisco,Fire Resistive,Metal,1985 and Before,Below 1500,8,$1.6M to $2M," $182,555.82 "
23690,B,Contra Costa,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,1,$1.6M to $2M,
23691,A,Santa Clara,Frame,Wood,2000 and After,Below 1500,5,$400K to $800K,
23692,B,Solano,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,9,Less than $400K," $64,988.49 "
23693,C,San Francisco,Frame,Wood,1985 and Before,Below 1500,5,$400K to $800K,
23694,E,Contra Costa,Fire Resistive,Wood,1986 to 1999,4000 and Above,9,$800K to $1.2M,
